ts_code,code,portfolio_weight,portfolio_seed_weight,score_seed,source_latest_portfolio,source_latest_scores,source_integrated_thesis,source_router,target_exposure,cash_buffer,price,price_date,price_source,integrated_thesis_score,integrated_thesis_state,primary_event_type,primary_mechanism_group,primary_event_fact_id,primary_reason_chain,mechanism_reason_chain,earnings_reason,earnings_reason_chain,thesis_reason_chain,thesis_gate_stage,thesis_reject_reason,mechanism_primary,router_final_score,router_allow_entry,router_signal_state,event_fact_backed,seed_weight_norm,pred_score_norm,router_score_norm,thesis_score_norm,selection_score,candidate_pool_basis,candidate_tier,industry,valuation_trade_date,pe_pct_1y,pb_pct_1y,ps_pct_1y,pe_pct_industry,pb_pct_industry,ps_pct_industry,crowding_trade_date,turnover_pct_rank,crowding_score,fund_exposure_proxy,northbound_holding_change,margin_balance_change,revision_trade_date,eps_revision_7d,eps_revision_30d,analyst_count,revision_score,backlog_amount,contract_liability,prepayment,capex,valuation_signal_score,revision_signal_score,order_flow_signal_score,event_drive_signal_score,industry_signal_score,liquidity_signal_score,data_activation_score,activation_alpha_family,alpha_family_horizon,alpha_family_capacity,alpha_family_style,alpha_family_objective,alpha_family_risk_budget,alpha_family_default_state,activation_llm_boost,alpha_activation_priority,llm_symbol_favored,llm_symbol_blocked,llm_mechanism_favored,llm_event_favored
300594.SZ,300594,0.04,0.04,0.1030480590445745,1.0,1.0,0.0,0.0,0.3,0.7,17.25,20260529,tushare_snapshot,0.0,,,,,,,,,,,,,,,,False,1.0,0.3563032841161699,0.20554984583761562,0.0,0.5699185676972354,hard_data_only,F,,2026-05-29,0.0,0.15625,0.15625,0.0,0.46938775510204084,0.24489795918367346,2026-05-29,0.4956411187795133,0.3653929115308039,0.3711611848082864,,,2026-03-06,0.0,0.0,,0.5,,,,,0.7639229024943309,0.0,0.0,0.0,0.0,0.3558105735612784,0.5558886318788856,valuation,medium,high,balanced,valuation_reversion,medium,shadow,0.0,0.43803968770323876,False,False,False,False
600905.SH,600905,0.04,0.04,0.1032111312558444,1.0,1.0,0.0,0.0,0.3,0.7,4.17,20260529,tushare_snapshot,0.0,,,,,,,,,,,,,,,,False,1.0,0.356867129422547,0.20554984583761562,0.0,0.5353754308568999,hard_data_only,F,,2026-05-29,1.0,0.5625,0.875,0.5925925925925926,0.22580645161290322,0.3225806451612903,2026-05-29,0.13421721758082092,0.3147108016701784,0.9635653280029075,,,2026-04-01,3.0,3.0,1.0,1.0,,,,,0.6182915173237753,1.0,0.0,0.0,0.0,0.35688295213577514,0.5547211124701933,revision,swing,mid,balanced,expectation_repricing,medium,live,0.0,0.43754670124157113,False,False,False,False
603359.SH,603359,0.04,0.04,0.1069741140794873,1.0,1.0,0.0,0.0,0.3,0.7,2.84,20260529,tushare_snapshot,0.0,,,,,,,,,,,,,,,,False,1.0,0.3698781764094364,0.20554984583761562,0.0,0.5722544618548263,hard_data_only,F,,2026-05-29,0.0,0.1875,0.1875,0.0,0.18253968253968253,0.7874015748031497,2026-05-29,0.6767163094805666,0.5555030743393343,0.7332364165000909,,,2026-03-06,0.0,0.0,,0.5,,,,,0.7003630796150481,0.0,0.0,0.0,0.0,0.43011555409532215,0.5470449240587429,valuation,medium,high,balanced,valuation_reversion,medium,shadow,0.0,0.43610125665289584,False,False,False,False
601108.SH,601108,0.04,0.04,0.1039998700168764,1.0,1.0,0.0,0.0,0.3,0.7,7.85,20260529,tushare_snapshot,0.0,,,,,,,,,,,,,,,,False,1.0,0.3595943055913272,0.20554984583761562,0.0,0.559044420042377,hard_data_only,F,,2026-05-29,0.375,0.125,0.125,0.24,0.26,0.32653061224489793,2026-05-29,0.16890664729386123,0.26566805452152736,0.6910775940396148,,,2026-03-06,0.0,0.0,,0.5,,,,,0.7285374149659862,0.0,0.0,0.0,0.0,0.33228645063864276,0.5276040746108637,valuation,medium,high,balanced,valuation_reversion,medium,shadow,0.0,0.42409511355895707,False,False,False,False
600004.SH,600004,0.04,0.04,0.1028075599522256,1.0,1.0,0.0,0.0,0.3,0.7,8.27,20260529,tushare_snapshot,0.0,,,,,,,,,,,,,,,,False,1.0,0.3554717243835038,0.20554984583761562,0.0,0.5564645840524387,hard_data_only,F,,2026-05-29,0.1875,0.1875,0.1875,0.4,0.2,0.2,2026-05-29,0.022520886305848167,0.22181770680312474,0.837724877339633,,,2026-03-06,0.0,0.0,,0.5,,,,,0.7317777777777777,0.0,0.0,0.0,0.0,0.32212370715437794,0.5257600901311317,valuation,medium,high,balanced,valuation_reversion,medium,shadow,0.0,0.4223488568630046,False,False,False,False
002074.SZ,002074,0.02,0.0,0.1597891391918182,0.0,1.0,0.0,0.0,0.3,0.7,32.95,20260529,tushare_snapshot,0.0,,,,,,,,,,,,,,,,False,0.0,0.5524936188804245,0.20554984583761562,0.0,0.49246571879266027,hard_data_only,F,,2026-05-29,0.6875,0.0625,0.0625,0.12213740458015267,0.19710144927536233,0.14739884393063585,2026-05-29,0.3726843443516164,0.35371344191019805,0.5949482100672361,,,2026-03-06,0.0,0.0,,0.5,,,,,0.8459414172070887,0.0,0.0,0.0,0.0,0.3587028670823796,0.6028602257856264,valuation,medium,high,balanced,valuation_reversion,medium,shadow,0.0,0.41739790243035796,False,False,False,False
601139.SH,601139,0.02,0.0,0.0757635044457562,0.0,1.0,0.0,0.0,0.3,0.7,6.48,20260529,tushare_snapshot,0.0,,,,,,,,,,,,,,,,False,0.0,0.26196306558764104,0.20554984583761562,0.0,0.38234085714969146,hard_data_only,F,,2026-05-29,0.1875,0.1875,0.1875,0.05128205128205128,0.045454545454545456,0.11363636363636363,2026-05-29,0.0740101707228478,0.18276447087376108,0.5682355079047792,,,2026-04-11,3.0,3.0,1.0,1.0,,,,,0.934020979020979,1.0,0.0,0.0,0.0,0.3009458414865456,0.7113922511869046,revision,swing,mid,balanced,expectation_repricing,medium,live,0.0,0.4172645958198845,False,False,False,False
600233.SH,600233,0.04,0.04,0.1404059278551133,1.0,1.0,0.0,0.0,0.3,0.7,18.75,20260529,tushare_snapshot,0.0,,,,,,,,,,,,,,,,False,1.0,0.48547341568573515,0.20554984583761562,0.0,0.58410987395308,hard_data_only,F,,2026-05-29,0.1875,0.1875,0.1875,0.14705882352941177,0.5,0.5,2026-05-29,0.05702869596803487,0.20979118710733285,0.7137016172996548,,,2026-03-06,0.0,0.0,,0.5,,,,,0.624640522875817,0.0,0.0,0.0,0.0,0.3143582117179694,0.4629676490289265,valuation,medium,high,balanced,valuation_reversion,medium,shadow,0.0,0.41507422657397464,False,False,False,False
601857.SH,601857,0.02,0.0,0.1696915055774522,0.0,1.0,0.0,0.0,0.3,0.7,10.87,20260529,tushare_snapshot,0.0,,,,,,,,,,,,,,,,False,0.0,0.5867324555595005,0.20554984583761562,0.0,0.49441702119026487,hard_data_only,F,,2026-05-29,0.1875,0.1875,0.1875,0.17647058823529413,0.19047619047619047,0.14285714285714285,2026-05-29,0.0005448601525608427,0.17872507740882215,0.7137016172996548,,,2026-03-06,0.0,0.0,,0.5,0.0,0.0,0.0,269089000000.0,0.8306162464985993,0.0,0.0,0.0,0.0,0.30400931684756793,0.5745884521043401,valuation,medium,high,balanced,valuation_reversion,medium,shadow,0.0,0.4094334621458607,False,False,False,False
601800.SH,601800,0.02,0.0,0.080393652288987,0.0,1.0,0.0,0.0,0.3,0.7,6.45,20260529,tushare_snapshot,0.0,,,,,,,,,,,,,,,,False,0.0,0.27797245865901293,0.20554984583761562,0.0,0.39814375373364863,hard_data_only,F,,2026-05-29,0.375,0.1875,0.1875,0.08641975308641975,0.023809523809523808,0.08661417322834646,2026-05-29,0.11278605158009444,0.3019696352925482,0.9597492276939851,,,2026-03-06,0.0,0.0,,0.5,,,,,0.9374652473996306,0.0,0.0,0.0,0.0,0.35252288575594937,0.6518887774159349,valuation,medium,high,balanced,valuation_reversion,medium,shadow,0.0,0.38968254311306577,False,False,False,False
601211.SH,601211,0.02,0.0,0.1172334676497596,0.0,1.0,0.0,0.0,0.3,0.7,15.38,20260529,tushare_snapshot,0.0,,,,,,,,,,,,,,,,False,0.0,0.4053513469270467,0.20554984583761562,0.0,0.4287104695595213,hard_data_only,F,,2026-05-29,0.8125,0.1875,0.1875,0.26,0.08,0.14285714285714285,2026-05-29,0.17126770795495821,0.31671223119786923,0.8900599672905688,,,2026-03-06,0.0,0.0,,0.5,,,,,0.8400476190476189,0.0,0.0,0.0,0.0,0.35532172049208216,0.5983424860438162,valuation,medium,high,balanced,valuation_reversion,medium,shadow,0.0,0.38666776134015196,False,False,False,False
000030.SZ,000030,0.02,0.0,0.0806999242575591,0.0,1.0,0.0,0.0,0.3,0.7,4.58,20260529,tushare_snapshot,0.0,,,,,,,,,,,,,,,,False,0.0,0.2790314374427644,0.20554984583761562,0.0,0.393782442755305,hard_data_only,F,,2026-05-29,0.0625,0.0625,0.0625,0.03587443946188341,0.03409090909090909,0.01509433962264151,2026-05-29,0.04068289139120959,0.10739739655264484,0.34008722514991824,,,2026-03-06,0.0,0.0,,0.5,,,,,0.9731725053650131,0.0,0.0,0.0,0.0,0.2689239858858804,0.6417892379233243,valuation,medium,high,balanced,valuation_reversion,medium,shadow,0.0,0.3846809495934349,False,False,False,False
