feature,importance
listed_days,2524
vol_60,2164
vol_20,1874
ret_120,1761
ret_20,1702
vol_5,1490
ret_60,1474
alpha_ret_60_vs_hs300,1426
alpha_ret_20_vs_hs300,1376
total_mv,1279
ret_5,1240
ret_10,1196
close,1195
circ_mv,1171
alpha_ret_5_vs_hs300,1080
alpha_ret_10_vs_hs300,1063
pre_close,1050
pct_chg,504
ret_1,471
feat_vol_adj_momentum,0
inter_sector_rotation_intensity,0
inter_capital_flow_divergence,0
