feature,importance
listed_days,2524
vol_60,2164
vol_20,1874
ret_120,1761
ret_20,1702
vol_5,1490
ret_60,1474
alpha_ret_60_vs_hs300,1426
alpha_ret_20_vs_hs300,1376
total_mv,1280
ret_5,1240
close,1200
ret_10,1196
circ_mv,1170
alpha_ret_5_vs_hs300,1080
alpha_ret_10_vs_hs300,1063
pre_close,1045
pct_chg,497
ret_1,478
