feature,importance
hs300_ret_60,5793
hs300_ret_20,5502
hs300_ret_5,5273
hs300_ret_10,5019
ret_120,756
ret_1,688
alpha_ret_20_vs_hs300,423
alpha_ret_60_vs_hs300,413
alpha_ret_5_vs_hs300,404
ret_60,392
ret_5,383
ret_20,359
ret_10,326
alpha_ret_10_vs_hs300,309
