period_label,period_type,total_trade_value,total_trade_unit,yoy_total_pct,export_value,yoy_export_pct,import_value,yoy_import_pct,source_url,status_code,title,description,release_date
7月当月,monthly,3.91,万亿元,,,,,,https://www.gov.cn/lianbo/bumen/202508/content_7035523.htm,200,年内新高！7月我国货物贸易进出口同比增长6.7%_部门动态_中国政府网,海关总署7日发布数据显示，7月当月，我国货物贸易进出口总值3.91万亿元，同比增长6.7%，增速比6月加快1.5个百分点，创年内新高。,2025-08-07
上半年,cumulative,,,,,,,,https://www.gov.cn/lianbo/fabu/202507/content_7031904.htm,200,国务院新闻办就2025年上半年进出口情况举行发布会__中国政府网,国务院新闻办公室于2025年7月14日（星期一）上午10时举行新闻发布会，请海关总署副署长王令浚，海关总署新闻发言人、统计分析司司长吕大良介绍2025年上半年进出口情况，并答记者问。,2025-07-14
